timestamp,url,handler,status,filename,info
2026-04-26T15:43:27,http://proceedings.mlr.press/v70/macglashan17a/macglashan17a.pdf,pdf,fail,,HTTPError: 403 Client Error: Forbidden for url: http://proceedings.mlr.press/v70/macglashan17a/macglashan17a.pdf
2026-04-26T15:43:27,http://proceedings.mlr.press/v48/mniha16.html?ref=https://githubhelp.com,web,fail,,HTTPError: 403 Client Error: Forbidden for url: http://proceedings.mlr.press/v48/mniha16.html?ref=https://githubhelp.com
2026-04-26T15:43:27,http://joschu.net/blog/kl-approx.html,web,fail,,HTTPError: 403 Client Error: Forbidden for url: http://joschu.net/blog/kl-approx.html
2026-04-26T15:43:27,http://timhua.me/,web,fail,,HTTPError: 403 Client Error: Forbidden for url: http://timhua.me/
2026-04-26T15:43:27,https://ar5iv.labs.arxiv.org/html/lichess.org,arxiv,fail,,"ProxyError: HTTPSConnectionPool(host='ar5iv.labs.arxiv.org', port=443): Max retries exceeded with url: /html/lichess.org (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 "
2026-04-26T15:43:27,https://arxiv.org/abs/1207.4708,arxiv,fail,,"ProxyError: HTTPSConnectionPool(host='arxiv.org', port=443): Max retries exceeded with url: /pdf/1207.4708.pdf (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden'"
2026-04-26T15:43:27,http://arxiv.org/abs/2502.14143,arxiv,fail,,"ProxyError: HTTPSConnectionPool(host='arxiv.org', port=443): Max retries exceeded with url: /pdf/2502.14143.pdf (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden"
2026-04-26T15:43:27,https://assets.anthropic.com/m/24c8d0a3a7d0a1f1/original/Alignment-Faking-in-Large-Language-Models-reviews.pdf,pdf,fail,,"SSLError: HTTPSConnectionPool(host='assets.anthropic.com', port=443): Max retries exceeded with url: /m/24c8d0a3a7d0a1f1/original/Alignment-Faking-in-Large-Language-Models-reviews.pdf (Caused by SSLError(SSLCer"
2026-04-26T15:43:27,https://assets.anthropic.com/m/52eab1f8cf3f04a6/original/Alignment-Faking-Policy-Memo.pdf,pdf,fail,,"SSLError: HTTPSConnectionPool(host='assets.anthropic.com', port=443): Max retries exceeded with url: /m/52eab1f8cf3f04a6/original/Alignment-Faking-Policy-Memo.pdf (Caused by SSLError(SSLCertVerificationError(1,"
2026-04-26T23:47:58,https://assets.anthropic.com/m/24c8d0a3a7d0a1f1/original/Alignment-Faking-in-Large-Language-Models-reviews.pdf,pdf,ok,Alignment-Faking-in-Large-Language-Models-reviews_731573a2.pdf,292798 bytes
