body_chars,path,source_url
25,05_Resources/05a_Educational/AI_Alignment_57150640.md,https://aisafetyfundamentals.com/alignment-course-details
25,05_Resources/05a_Educational/AI_Alignment_dbe0a694.md,https://course.aisafetyfundamentals.com/alignment?session=3&scrollTo=exercises
25,05_Resources/05a_Educational/AI_Alignment_9c5918bf.md,https://course.aisafetyfundamentals.com/alignment?session=3
25,05_Resources/05a_Educational/AI_Alignment_72dc2650.md,https://course.aisafetyfundamentals.com/alignment?session=4
50,02_Mitigations-and-Methods/02f_Interpretability/Home_Anthropic_138dc8d9.md,https://www.anthropic.com/
61,03_Evaluations/03e_Other-Evaluations/Redirecting_fb5699a0.md,https://metr.org/faisc
72,03_Evaluations/03e_Other-Evaluations/Redirecting_143339e8.md,https://metr.org/team?name=holden-karnofsky
72,03_Evaluations/03e_Other-Evaluations/Redirecting_a7f555e0.md,https://metr.org/team?name=chris-painter
72,03_Evaluations/03e_Other-Evaluations/Redirecting_ba0fe928.md,https://metr.org/team?name=paul-christiano
98,03_Evaluations/03e_Other-Evaluations/Sarah_L._Gebauer_-_Publications_8a417304.md,https://www.rand.org/pubs/authors/g/gebauer_sarah.html
98,03_Evaluations/03e_Other-Evaluations/Bria_Persaud_-_Publications_0d1f44dd.md,https://www.rand.org/pubs/authors/p/persaud_bria.html
98,03_Evaluations/03e_Other-Evaluations/Henry_Alexander_Bradley_-_Publications_81f9abaa.md,https://www.rand.org/pubs/authors/b/bradley_henry_alexander.html
98,03_Evaluations/03e_Other-Evaluations/Grant_Ellison_-_Publications_863807a9.md,https://www.rand.org/pubs/authors/e/ellison_grant.html
98,03_Evaluations/03e_Other-Evaluations/Jordan_Despanie_-_Publications_994e2c89.md,https://www.rand.org/pubs/authors/d/despanie_jordan.html
98,03_Evaluations/03e_Other-Evaluations/Charles_Teague_-_Publications_ab391267.md,https://www.rand.org/pubs/authors/t/teague_charles.html
98,03_Evaluations/03e_Other-Evaluations/Dawid_Maciorowski_-_Publications_1550c25d.md,https://www.rand.org/pubs/authors/m/maciorowski_dawid.html
98,03_Evaluations/03e_Other-Evaluations/Kyle_Brady_-_Publications_4421dc4b.md,https://www.rand.org/pubs/authors/b/brady_kyle.html
121,03_Evaluations/03e_Other-Evaluations/Redirecting_24880147.md,https://metr.org/blog/2024-08-29-common-elements-of-frontier-ai-safety-policies
155,01_Risks-and-Failure-Modes/01a_Existential-Risk/Subscribe_to_Epoch_AI_0f65568e.md,https://epochai.substack.com/subscribe
197,03_Evaluations/03e_Other-Evaluations/Redirecting..._3be50887.md,https://metr.github.io/autonomy-evals-guide/elicitation-protocol
224,02_Mitigations-and-Methods/02f_Interpretability/Anthropicâs_Interpretability_Research_7ff6253f.md,https://transformer-circuits.pub/
253,02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Effective_Ventures_cd6d856a.md,https://ev.org/
284,01_Risks-and-Failure-Modes/01a_Existential-Risk/RAND_Provides_Objective_Research_Services_and_Public_Policy_Analysis_1dbe37c2.md,https://www.rand.org/
293,04_Governance-and-Policy/04c_Other-Governance/Contact_Us_Apollo_Research_f43d6548.md,https://www.apolloresearch.ai/contact
307,03_Evaluations/03e_Other-Evaluations/Sunishchal_Dev_-_Profile_24892b97.md,https://www.rand.org/about/people/d/dev_sunishchal.html
314,02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Philanthropically_Supported_Research_1363e6e2.md,https://www.rand.org/support-us/philanthropically-supported-research.html
321,03_Evaluations/03e_Other-Evaluations/Pioneering_threat_assessment_and_mitigation_for_AI_systems_75cd7726.md,https://www.redwoodresearch.org/
355,01_Risks-and-Failure-Modes/01a_Existential-Risk/RAND_Global_and_Emerging_Risks_28d3042c.md,https://www.rand.org/global-and-emerging-risks.html
397,03_Evaluations/03d_Agent-Benchmarks-and-Frameworks/WebArena-x_8490816c.md,https://webarena.dev/
436,01_Risks-and-Failure-Modes/01a_Existential-Risk/Jeffrey_Lee_faf2d73f.md,https://www.rand.org/about/people/l/lee_jeffrey.html
476,01_Risks-and-Failure-Modes/01a_Existential-Risk/Statement_on_AI_Risk_CAIS_0b044cb6.md,https://www.safe.ai/statement-on-ai-risk
476,01_Risks-and-Failure-Modes/01a_Existential-Risk/Statement_on_AI_Risk_CAIS_3943efdd.md,https://www.safe.ai/work/statement-on-ai-risk
476,01_Risks-and-Failure-Modes/01a_Existential-Risk/Statement_on_AI_Risk_CAIS_a5ac984d.md,https://safe.ai/work/statement-on-ai-risk
