url,handler
http://arxiv.org/abs/2502.14143,arxiv
http://joschu.net/blog/kl-approx.html,web
http://proceedings.mlr.press/v48/mniha16.html?ref=https://githubhelp.com,web
http://proceedings.mlr.press/v70/macglashan17a/macglashan17a.pdf,pdf
http://timhua.me/,web
https://academic.oup.com/humupd/advance-article/doi/10.1093/humupd/dmae012/7684172,web
https://academic.oup.com/spp/article/41/5/597/1636559,web
https://aclanthology.org/2023.findings-acl.375,web
https://aclanthology.org/D19-1332,web
https://ai-alignment.com/ai-alignment-is-distinct-from-its-near-term-applications-81300500ad2e,web
https://ai-alignment.com/clarifying-ai-alignment-cec47cd69dd6,web
https://ai.meta.com/research/publications/code-world-model-preparedness-report,web
https://ai.meta.com/research/publications/cyberseceval-3-advancing-the-evaluation-of-cybersecurity-risks-and-capabilities-in-large-language-models,web
https://ai.meta.com/static-resource/Meta_Advanced-AI-Scaling-Framework-v2,web
https://ai.meta.com/static-resource/meta-frontier-ai-framework,web
https://aiimpacts.org/what-do-coherence-arguments-imply-about-the-behavior-of-advanced-ai,web
https://aisafetyfundamentals.com/alignment-course-details,web
https://aisafetyfundamentals.com/blog/scalable-oversight-intro,web
https://aisafetyfundamentals.com/blog/what-is-ai-alignment,web
https://aisafetyfundamentals.com/projects/badllama-3-remove-safety-finetuning-from-llama-3-8b-instruct-for-a-few-cents,web
https://aligned.substack.com/p/alignment-optimism,web
https://aligned.substack.com/p/combining-w2sg-with-scalable-oversight,web
https://aligned.substack.com/p/what-is-alignment,web
https://alignment.anthropic.com/2024/anthropic-fellows-program,web
https://alignment.anthropic.com/2024/rogue-eval,web
https://alignment.anthropic.com/2025/bumpers,web
https://alignment.anthropic.com/2025/modifying-beliefs-via-sdf,web
https://andonlabs.com/evals/vending-bench,web
https://anthropic.com/feb-2026-risk-report,web
https://anthropic.com/responsible-scaling-policy/roadmap,web
https://anthropic.com/responsible-scaling-policy/rsp-v3-0,web
https://antischeming.ai/,web
